"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"Jan 2009",0.0304985679125858,0.0284431551984806,0.0325539806266911,0.0273550854329714,0.0336420503922003
"Feb 2009",0.0334242226383215,0.0313104427587212,0.0355380025179218,0.0301914752821888,0.0366569699944541
"Mar 2009",0.0362505384170564,0.0340598117022088,0.038441265131904,0.0329001110316032,0.0396009658025096
"Apr 2009",0.0361666503698917,0.0338793167665233,0.0384539839732601,0.0326684754983054,0.039664825241478
"May 2009",0.0364791861144807,0.03407514391231,0.0388832283166514,0.0328025208438432,0.0401558513851182
"Jun 2009",0.0361238567582927,0.0335831138870311,0.0386645996295543,0.0322381258555854,0.0400095876610001
"Jul 2009",0.0348447583480991,0.0321478563465785,0.0375416603496197,0.030720202665029,0.0389693140311692
"Aug 2009",0.0362469482513445,0.0333752490640694,0.0391186474386195,0.0318550633418206,0.0406388331608683
"Sep 2009",0.038064833269325,0.0350006823436037,0.0411289841950463,0.033378618824995,0.0427510477136549
"Oct 2009",0.0402932884379677,0.0370200799914165,0.043566496884519,0.0352873481062523,0.0452992287696831
"Nov 2009",0.0398223302765779,0.0363245033443692,0.0433201572087866,0.0344728656154584,0.0451717949376974
"Dec 2009",0.0359308922128151,0.032193882827827,0.0396679015978033,0.0302156295566828,0.0416461548689474
"Jan 2010",0.0384422208145357,0.0343256442537045,0.0425587973753669,0.0321464602569789,0.0447379813720926
"Feb 2010",0.0413678755402714,0.0369933700632988,0.045742381017244,0.0346776467460862,0.0480581043344565
"Mar 2010",0.0441941913190063,0.0395491404836203,0.0488392421543922,0.0370901991048145,0.0512981835331981
"Apr 2010",0.0441103032718416,0.039182796907004,0.0490378096366792,0.0365743326029052,0.051646273940778
"May 2010",0.0444228390164306,0.0392016052146161,0.0496440728182451,0.036437650997819,0.0524080270350422
"Jun 2010",0.0440675096602426,0.0385418507235214,0.0495931685969638,0.0356167435748193,0.0525182757456659
"Jul 2010",0.042788411250049,0.0369481449120002,0.0486286775880977,0.0338564946651452,0.0517203278349528
"Aug 2010",0.0441906011532944,0.0380260075604525,0.0503551947461362,0.0347626688358289,0.0536185334707599
"Sep 2010",0.0460084861712748,0.0395102605988426,0.0525067117437071,0.0360703077726772,0.0559466645698725
"Oct 2010",0.0482369413399176,0.0413961523295897,0.0550777303502455,0.0377748573734544,0.0586990253063809
"Nov 2010",0.0477659831785278,0.0405740356429642,0.0549579307140914,0.0367668485924637,0.0587651177645919
"Dec 2010",0.043874545114765,0.0363231478990041,0.051425942330526,0.0323256796818256,0.0554234105477045
